WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2016-01-04;2016;1;Agricultural;60892;1.4780266701701372;0.6569007422978388;2016-01-04
2016-01-04;2016;1;Industrial;338383;3.014335826563391;1.3298540411309079;2016-01-04
2016-01-11;2016;2;Agricultural;60892;1.642251855744597;0.8211259278722985;2016-01-11
2016-01-11;2016;2;Industrial;338383;3.309858946814704;1.3298540411309079;2016-01-11
2016-01-18;2016;3;Agricultural;60892;2.627602969191355;1.3138014845956776;2016-01-18
2016-01-18;2016;3;Industrial;338383;3.1916496987141794;1.1820924810052513;2016-01-18
2016-01-25;2016;4;Agricultural;60892;2.791828154765815;1.149576299021218;2016-01-25
2016-01-25;2016;4;Industrial;338383;3.546277443015754;1.2707494170806453;2016-01-25
2016-02-01;2016;5;Agricultural;60892;2.627602969191355;1.642251855744597;2016-02-01
2016-02-01;2016;5;Industrial;338383;3.6644866911162794;0.9456739848042012;2016-02-01
2016-02-08;2016;6;Agricultural;60892;1.3138014845956776;0.6569007422978388;2016-02-08
2016-02-08;2016;6;Industrial;338383;3.4576205069403603;1.5367202253068268;2016-02-08
2016-02-15;2016;7;Agricultural;60892;2.134927412467976;2.299152598042436;2016-02-15
2016-02-15;2016;7;Industrial;338383;3.6644866911162794;1.5367202253068268;2016-02-15
2016-02-22;2016;8;Agricultural;60892;2.9560533403402744;1.3138014845956776;2016-02-22
2016-02-22;2016;8;Industrial;338383;3.7235913151665416;1.1525401689801202;2016-02-22
2016-02-29;2016;9;Agricultural;60892;2.134927412467976;1.3138014845956776;2016-02-29
2016-02-29;2016;9;Industrial;338383;3.3689635708649663;1.3003017291057766;2016-02-29
2016-03-07;2016;10;Agricultural;60892;1.4780266701701372;0.8211259278722985;2016-03-07
2016-03-07;2016;10;Industrial;338383;3.102992762638785;0.9161216727790699;2016-03-07
2016-03-14;2016;11;Agricultural;60892;2.299152598042436;0.8211259278722985;2016-03-14
2016-03-14;2016;11;Industrial;338383;3.516725130990623;1.448063289231433;2016-03-14
2016-03-21;2016;12;Agricultural;60892;2.134927412467976;1.149576299021218;2016-03-21
2016-03-21;2016;12;Industrial;338383;3.2803066347895724;1.5367202253068268;2016-03-21
2016-03-28;2016;13;Agricultural;60892;1.9707022268935164;0.6569007422978388;2016-03-28
2016-03-28;2016;13;Industrial;338383;3.2507543227644415;1.122987856954989;2016-03-28
2016-04-04;2016;14;Agricultural;60892;1.642251855744597;0.9853511134467582;2016-04-04
2016-04-04;2016;14;Industrial;338383;2.6597080822618158;1.2116447930303829;2016-04-04
2016-04-11;2016;15;Agricultural;60892;1.4780266701701372;0.4926755567233791;2016-04-11
2016-04-11;2016;15;Industrial;338383;3.014335826563391;1.2707494170806453;2016-04-11
2016-04-18;2016;16;Agricultural;60892;1.642251855744597;1.149576299021218;2016-04-18
2016-04-18;2016;16;Industrial;338383;3.1916496987141794;1.034330920879595;2016-04-18
2016-04-25;2016;17;Agricultural;60892;1.642251855744597;0.3284503711489194;2016-04-25
2016-04-25;2016;17;Industrial;338383;2.9847835145382597;0.9752262968293324;2016-04-25
2016-05-02;2016;18;Agricultural;60892;2.134927412467976;1.3138014845956776;2016-05-02
2016-05-02;2016;18;Industrial;338383;3.960009811367592;1.122987856954989;2016-05-02
2016-05-09;2016;19;Agricultural;60892;1.8064770413190567;0.6569007422978388;2016-05-09
2016-05-09;2016;19;Industrial;338383;3.1916496987141794;0.9456739848042012;2016-05-09
2016-05-16;2016;20;Agricultural;60892;2.299152598042436;1.3138014845956776;2016-05-16
2016-05-16;2016;20;Industrial;338383;2.777917330362341;1.0047786088544637;2016-05-16
2016-05-23;2016;21;Agricultural;60892;1.642251855744597;0.3284503711489194;2016-05-23
2016-05-23;2016;21;Industrial;338383;2.925678890487997;0.6501508645528883;2016-05-23
2016-05-30;2016;22;Agricultural;60892;2.791828154765815;0.4926755567233791;2016-05-30
2016-05-30;2016;22;Industrial;338383;3.0734404506136537;1.2116447930303829;2016-05-30
2016-06-06;2016;23;Agricultural;60892;1.149576299021218;0.9853511134467582;2016-06-06
2016-06-06;2016;23;Industrial;338383;2.334632649985372;1.0047786088544637;2016-06-06
2016-06-13;2016;24;Agricultural;60892;2.4633777836168957;0.3284503711489194;2016-06-13
2016-06-13;2016;24;Industrial;338383;3.398515882890098;0.8865693607539386;2016-06-13
2016-06-20;2016;25;Agricultural;60892;1.8064770413190567;0.1642251855744597;2016-06-20
2016-06-20;2016;25;Industrial;338383;4.078219059468117;0.9752262968293324;2016-06-20
2016-06-27;2016;26;Agricultural;60892;0.6569007422978388;0.8211259278722985;2016-06-27
2016-06-27;2016;26;Industrial;338383;3.2212020107393102;1.034330920879595;2016-06-27
